x,y,z,heading1,heading2,heading3
0.4338333,0.09816668,-0.2044166,77.24997,154.3483,-25.2292,1.729999
0.43525,0.01733333,-0.2356666,87.71946,175.7934,-28.43338,1.739999
0.4231667,-0.02391666,-0.2523334,93.23481,-174.5856,-30.80753,1.749999
0.41775,-0.09166665,-0.2710833,102.3762,-161.317,-32.98005,1.759999
0.4023334,-0.11225,-0.2763333,105.589,-157.8924,-34.48232,1.769999
0.3781667,-0.1541667,-0.3034167,112.1792,-153.0648,-38.74132,1.779999
0.3535834,-0.16625,-0.30775,115.1823,-151.6216,-41.03548,1.789999
0.3265,-0.2151667,-0.32775,123.3853,-146.7152,-45.10946,1.799999
0.3031667,-0.24375,-0.3385834,128.7997,-144.2495,-48.15881,1.809999
0.2705,-0.2803333,-0.3435833,136.0227,-140.7886,-51.78696,1.819999
0.1921667,-0.35825,-0.2996666,151.7907,-129.9116,-57.32924,1.829999
0.15175,-0.3893333,-0.2598333,158.7057,-123.7184,-59.71386,1.839999
0.1185833,-0.4099166,-0.2309167,163.8655,-119.3937,-62.818,1.849999
0.06816668,-0.42075,-0.1884167,170.7973,-114.1234,-70.11053,1.859999
0.05025,-0.4264167,-0.1560833,173.2791,-110.1044,-72.15438,1.869999
0.02925,-0.41825,-0.1209167,175.9996,-106.1246,-76.40126,1.879999
0.02066666,-0.4130833,-0.08816666,177.1358,-102.0482,-76.80779,1.889999
0.01983333,-0.4130833,-0.0613333,177.2512,-98.44539,-72.08036,1.899999
0.01216668,-0.4065833,-0.03233331,178.286,-94.54684,-69.37921,1.909999
0.01175001,-0.4051667,-0.01858333,178.3389,-92.62608,-57.69533,1.919999
0.0004999936,-0.3965833,0.002666682,179.9278,-89.61473,79.38054,1.929998
-0.001166672,-0.3885,0.02075002,-179.8279,-86.9427,93.21807,1.939999
-0.003083318,-0.3905833,0.03641668,-179.5477,-84.67333,94.83955,1.949998
-0.008916676,-0.38075,0.0645,-178.6584,-80.38522,97.87085,1.959999
-0.007249981,-0.3776667,0.07308334,-178.9002,-79.04789,95.66529,1.969998
-0.01033333,-0.3665833,0.07741669,-178.3853,-78.07523,97.60271,1.979998
-0.007666647,-0.3605833,0.08308333,-178.782,-77.02472,95.27213,1.989998
0.00150001,-0.36475,0.08616668,179.7644,-76.70841,89.00267,1.999998
-0.00849998,-0.3664167,0.07183334,-178.6711,-78.90824,96.74837,2.009999
0.0009166598,-0.3768333,0.08183333,179.8606,-77.74785,89.35822,2.019999
-0.006999999,-0.3643333,0.07933333,-178.8993,-77.71564,95.04244,2.029999
-0.003916651,-0.3695,0.09350002,-179.3927,-75.79968,92.39867,2.039999
0.001333326,-0.3614167,0.09991667,179.7886,-74.54609,89.23546,2.049999
-0.002666652,-0.3605833,0.1076667,-179.5763,-73.37488,91.41879,2.059999
-0.00575,-0.34975,0.1064167,-179.0581,-73.07683,93.09284,2.069999
0.005500019,-0.3449166,0.1176667,179.0864,-71.16316,87.3238,2.079998
0.001916677,-0.3440833,0.1195,179.6808,-70.8479,89.0811,2.089998
-0.004500002,-0.3376667,0.1305833,-179.2365,-68.85738,91.97367,2.099998
-0.0007500052,-0.3480833,0.1251667,-179.8765,-70.22201,90.34331,2.109998
-0.01975,-0.3540833,0.12725,-176.8075,-70.23264,98.82227,2.119998
-0.02641666,-0.3424166,0.1245,-175.5885,-70.01913,101.9795,2.129998
-0.04474999,-0.3574167,0.1224167,-172.8635,-71.09345,110.0801,2.139998
-0.07699999,-0.35225,0.1055833,-167.6694,-73.31443,126.1026,2.149998
-0.1099167,-0.3493333,0.1086667,-162.534,-72.7207,135.3276,2.159998
-0.11975,-0.3436667,0.1064167,-160.7892,-72.79482,138.3739,2.169998
-0.157,-0.3186667,0.1135,-153.7715,-70.39555,144.1357,2.179998
-0.1811667,-0.31225,0.1064167,-149.8778,-71.18058,149.5702,2.189998
-0.2178333,-0.2851666,0.1168334,-142.6245,-67.72098,151.7934,2.199998
-0.2503333,-0.2676667,0.11325,-136.9165,-67.06673,155.6581,2.209998
-0.2945,-0.22375,0.1076667,-127.2262,-64.30351,159.918,2.219998
-0.3088333,-0.2054167,0.1180834,-123.6294,-60.10764,159.0755,2.229998
-0.3350833,-0.1635,0.116,-116.0095,-54.64505,160.905,2.239998
-0.34425,-0.1275,0.1211667,-110.3231,-46.45895,160.6093,2.249998
-0.3688333,-0.07016666,0.122,-100.7712,-29.90478,161.6972,2.259998
-0.3965833,-0.004749984,0.1376667,-90.6862,-1.976122,160.8565,2.269998
-0.3984167,0.02775002,0.1361667,-86.01574,11.51882,161.1311,2.279998
-0.3899167,0.09233335,0.1268333,-76.6776,36.05422,161.9812,2.289998
-0.39175,0.12025,0.1301667,-72.93581,42.73223,161.6199,2.299998
-0.3778333,0.1723333,0.1185,-65.48182,55.48677,162.587,2.309998
-0.3759167,0.2041667,0.1128334,-61.49287,61.07262,163.2926,2.319998
-0.3388333,0.2466667,0.13075,-53.94582,62.07339,158.8992,2.329998
-0.3124167,0.3035834,0.1305833,-45.82155,66.72552,157.3161,2.339998
-0.2921667,0.3320833,0.1328333,-41.34129,68.19859,155.5511,2.349998
-0.2474167,0.37375,0.1590833,-33.50393,66.94341,147.2599,2.359998
-0.221,0.3910833,0.1643333,-29.47066,67.20783,143.3659,2.369998
-0.1690833,0.415,0.1830834,-22.16744,66.19462,132.7235,2.379998
-0.1439167,0.4229167,0.1890833,-18.79321,65.91088,127.2758,2.389998
-0.08283334,0.4315,0.20975,-10.86665,64.07584,111.5498,2.399998
-0.06016665,0.44275,0.2193334,-7.738694,63.64671,105.3398,2.409998
0.08525002,0.4423333,0.2280833,10.90875,62.72269,69.50591,2.419998
0.1548333,0.4266666,0.2289167,19.94536,61.7854,55.92659,2.429998
0.1809167,0.4169167,0.21725,23.45793,62.47655,50.21389,2.439998
0.2373333,0.4,0.1976667,30.68207,63.70295,39.78974,2.449998
0.26925,0.3866667,0.1886667,34.85089,63.99081,35.01938,2.459998
0.3109167,0.3608333,0.1536667,40.75026,66.93249,26.30031,2.469998
0.3373333,0.3366667,0.1340834,45.05667,68.28422,21.67685,2.479998
0.3706666,0.3156667,0.08533335,49.58166,74.87294,12.96451,2.489998
0.3796667,0.2906667,0.05450001,52.56291,79.38034,8.168834,2.499998
0.4096667,0.2506666,-0.009416639,58.53839,92.15137,-1.316775,2.509998
0.4205,0.23775,-0.04191667,60.51625,99.99881,-5.692605,2.519998
0.4513333,0.1844167,-0.06524998,67.77487,109.4847,-8.226345,2.529998
0.4473334,0.1615,-0.08133334,70.14898,116.7304,-10.30485,2.539998
0.4598333,0.08566669,-0.09066666,79.44681,136.6242,-11.15409,2.549998
