Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
6.000005,0.246,-0.06625,-0.37625,0.48,-0.24,0.9,900,971.1771,291,207.0727,83.92734,260.0137,146.8225
6.050005,0.2454167,-0.03558333,-0.3508333,-0.5,-0.47,1.04,900,971.1771,291,207.0727,90.75009,264.2086,145.0262
6.100005,0.2568333,-0.03933333,-0.3639167,0.06,-0.08,1.02,900,1004.419,291,200.2499,90.29296,263.8312,144.7875
6.150005,0.2514167,-0.04891667,-0.3741667,0.23,-0.29,1.03,900,1037.736,291,200.707,87.98985,262.5517,146.1014
6.200006,0.2226667,-0.04975,-0.36625,0.21,0.36,1.18,900,1071.699,291,204.5946,86.40536,262.2645,148.7019
6.250006,0.251,-0.07916666,-0.4104167,0.45,-0.13,1.03,900,1071.699,291,204.5946,81.49446,259.0821,148.5511
6.300006,0.23625,-0.09641666,-0.3993333,0.26,-0.17,0.85,900,1106.477,291,209.5055,76.799,256.4261,149.391
6.350006,0.2235,-0.1233333,-0.3768333,-0.26,0.09,0.83,900,1143.145,291,220.8911,70.1089,251.8773,149.3278
6.400006,0.16625,-0.1489167,-0.3980833,-0.11,-0.5,1.0,900,1143.145,291,220.8911,57.14795,249.49,157.3333
6.450006,0.1033333,-0.1885,-0.3933333,0.4,-0.21,0.9700001,900,1181.964,291,233.8521,37.731,244.3945,165.2803
6.500007,0.08266666,-0.18725,-0.3793334,0.25,0.32,1.04,900,1224.007,291,253.269,32.82038,243.7277,167.706
6.550007,0.03333333,-0.1829167,-0.401,-0.36,-0.1,0.76,900,1269.104,291,271.6722,19.32782,245.4798,175.2482
6.600007,0.01516667,-0.2008333,-0.41975,0.3,-0.24,0.87,900,1269.104,291,271.6722,13.31871,244.4308,177.9306
6.650007,-0.03166667,-0.16,-0.4120833,-0.35,-0.06,0.99,900,1315.199,291,277.6813,357.8049,248.7803,184.3943
6.700007,-0.04975,-0.1554167,-0.41975,0.42,-0.07,0.88,-900,1305.198,291,-60.24976,351.2498,249.6824,186.7593
6.750008,-0.03641667,-0.1380833,-0.42475,0.08,0.38,0.86,-900,1305.198,291,-60.24976,354.2258,251.991,184.9004
6.800008,-0.03891666,-0.1380833,-0.4218333,0.29,-0.22,0.85,325.3224,1294.702,291,-63.22583,353.2603,251.8746,185.271
6.850008,-0.03725,-0.1579167,-0.3908334,0.0,0.44,0.68,325.3224,1294.702,291,-63.22583,355.7275,247.9988,185.4444
6.900008,-0.02416667,-0.16475,-0.4035,0.42,-0.08,0.91,308.9089,1283.958,291,-64.72748,360.655,247.7897,183.4275
6.950008,-0.009333333,-0.1489167,-0.3941667,0.07,0.26,1.16,308.9089,1283.958,291,-64.72748,365.4137,249.3034,181.3564
