x,y,z,heading1,heading2,heading3
0.00475,0.1855833,-0.4043333,1.466164,155.3455,-89.32693,1.719999
0.02958333,0.2054167,-0.3958333,8.195173,152.5731,-85.72584,1.729999
0.03416667,0.2101667,-0.39625,9.23376,152.059,-85.07185,1.739999
0.04683333,0.2366667,-0.3933333,11.19349,148.9649,-83.20988,1.749999
0.04808333,0.24,-0.3793334,11.32906,147.6789,-82.77585,1.759999
0.05833333,0.2620833,-0.3764167,12.5481,145.1521,-81.19093,1.769999
0.05541667,0.2651667,-0.3754167,11.80424,144.7654,-81.60299,1.779999
0.08308333,0.2876667,-0.35375,16.10967,140.8823,-76.7828,1.789999
0.09625,0.3089167,-0.3508333,17.30561,138.6353,-74.65855,1.799999
0.1020833,0.3058333,-0.3470833,18.45836,138.615,-73.61045,1.809999
0.1033333,0.3351667,-0.3355833,17.13475,135.0356,-72.88527,1.819999
0.1076667,0.34125,-0.3155833,17.51083,132.7622,-71.16204,1.829999
0.11475,0.3585,-0.3014167,17.74902,130.0562,-69.15805,1.839999
0.1291667,0.366,-0.281,19.43867,127.5156,-65.31328,1.849999
0.14225,0.4118333,-0.21475,19.05526,117.5397,-56.47958,1.859999
0.1439167,0.4264167,-0.1875,18.64966,113.7356,-52.49176,1.869999
0.1539167,0.4268333,-0.1705833,19.82937,111.784,-47.94018,1.879999
0.1801667,0.4425,-0.1330833,22.15401,106.7388,-36.45209,1.889999
0.1741667,0.4468333,-0.1208333,21.29484,105.1321,-34.75213,1.899999
0.1851667,0.4589167,-0.08808333,21.97341,100.8651,-25.44032,1.909999
0.1945833,0.4533333,-0.08474999,23.23036,100.5891,-23.53534,1.919999
0.205,0.4614167,-0.05375,23.95481,96.64438,-14.69196,1.929998
0.2058333,0.4580833,-0.03333333,24.1961,94.1619,-9.198809,1.939999
0.2201667,0.4605833,-0.00225,25.54859,90.27988,-0.5855155,1.949998
0.2291667,0.4520833,0.03458333,26.88102,85.62552,8.581699,1.959999
0.2226667,0.445,0.06,26.58222,82.32103,15.08079,1.969998
0.2341667,0.44125,0.08558333,27.95442,79.02339,20.07637,1.979998
0.2468333,0.4291667,0.10975,29.90517,75.65527,23.97146,1.989998
0.26625,0.4216667,0.1358333,32.26925,72.14445,27.02941,1.999998
0.2670834,0.40225,0.1735,33.58311,66.66831,33.00816,2.009999
