x,y,z,heading1,heading2,heading3
0.05672638,0.3274825,-0.2861003,9.827236,131.1416,-78.78516,2.709998
0.05734108,0.3502173,-0.2676906,9.298532,127.3927,-77.90958,2.719998
0.07095189,0.3797225,-0.235296,10.58378,121.7845,-73.21967,2.729998
0.07139094,0.4020395,-0.2228912,10.06917,119.004,-72.23999,2.739998
0.07578153,0.4206787,-0.1964224,10.2118,115.0287,-68.90293,2.749998
0.08702144,0.4336342,-0.1527291,11.34735,109.4026,-60.32652,2.759998
0.09685636,0.4478436,-0.1312379,12.20356,106.3329,-53.57189,2.769998
0.09316825,0.4546975,-0.1072975,11.57972,103.2775,-49.03165,2.779998
0.1008079,0.4551154,-0.09465565,12.48935,101.749,-43.1972,2.789998
0.08939234,0.4659813,-0.06802881,10.8595,98.30595,-37.27164,2.799998
0.09185106,0.4725008,-0.04748586,11.00072,95.73889,-27.3384,2.809998
0.08087461,0.4708292,-0.04369331,9.746615,95.3019,-28.38057,2.819998
0.08658237,0.4745904,-0.01667139,10.33911,92.01185,-10.89888,2.829998
0.08789955,0.4789368,-0.000237017,10.39979,90.02835,-0.154495,2.839998
0.094222,0.4889669,0.0192788,10.90698,87.74213,11.5637,2.849998
0.08851421,0.4806085,0.02638982,10.43529,86.85709,16.60154,2.859998
0.08939234,0.4946507,0.04811797,10.24382,84.44393,28.29262,2.869998
0.0747278,0.4931461,0.05246358,8.616635,83.9274,35.07125,2.879998
0.05997543,0.488549,0.06613256,6.998747,82.29099,47.7952,2.889998
0.06480507,0.493564,0.06352517,7.480159,82.66595,44.42858,2.899998
0.03740782,0.493564,0.07916943,4.33423,80.88718,64.70911,2.909998
0.01694766,0.4893848,0.08248792,1.983391,80.43247,78.38979,2.919998
-0.01027398,0.4833668,0.08327804,-1.217641,80.22462,97.03301,2.929998
-0.0524236,0.4760114,0.09655195,-6.284713,78.53394,118.5001,2.939998
-0.1465578,0.434888,0.1005025,-18.62388,76.9874,145.5595,2.949998
-0.1744819,0.4258609,0.1080086,-22.27968,75.76849,148.2415,2.959998
-0.2302423,0.3986961,0.1030309,-30.00593,75.51063,155.892,2.969998
-0.25,0.3761284,0.1054012,-33.61066,74.3457,157.1395,2.979998
-0.2822269,0.3481277,0.1136974,-39.03165,71.91312,158.0576,2.989998
-0.2898665,0.3238883,0.1226257,-41.82721,69.26308,157.0696,2.999998
-0.3263084,0.272902,0.124364,-50.09319,65.50081,159.1369,3.009998
-0.3447489,0.2635406,0.1377959,-52.60417,62.39655,158.2134,3.019998
-0.3522129,0.2210799,0.1472773,-57.88398,56.32956,157.3078,3.029998
-0.3656481,0.2000167,0.1484624,-61.32047,53.41534,157.9016,3.039998
-0.3682824,0.1537947,0.1538352,-67.33458,44.99245,157.3292,3.049998
-0.3735511,0.1239552,0.1510698,-71.64264,39.36943,157.9808,3.059998
-0.3682824,0.07171515,0.1468822,-78.98077,26.02391,158.2564,3.069998
-0.3645065,0.04538616,0.1558105,-82.9024,16.24035,156.8554,3.079998
-0.3489638,0.01211971,0.1775386,-88.01088,3.905249,153.0349,3.089998
-0.3314015,-0.02925442,0.1804621,-95.04469,-9.208025,151.4298,3.099998
-0.3140147,-0.05600133,0.193894,-100.1118,-16.11001,148.306,3.109998
-0.2883737,-0.08709461,0.2099333,-106.8054,-22.532,143.9457,3.119998
-0.2699332,-0.09963223,0.2209949,-110.2591,-24.26752,140.6927,3.129997
-0.2447313,-0.1069876,0.22139,-113.6132,-25.79235,137.8667,3.139997
-0.2339304,-0.1420929,0.2258936,-121.2751,-32.17096,136.0013,3.149997
-0.2400773,-0.1389167,0.2186246,-120.0551,-32.43238,137.6777,3.159997
-0.2356867,-0.1518723,0.2014001,-122.797,-37.01931,139.4853,3.169997
-0.2356867,-0.1692578,0.180067,-125.6839,-43.22764,142.6198,3.179997
-0.2514928,-0.1907389,0.1377959,-127.1777,-54.15443,151.2811,3.189997
-0.257464,-0.2179037,0.117648,-130.2428,-61.63502,155.442,3.199997
-0.2589568,-0.242561,0.05246358,-133.1275,-77.79547,168.5471,3.209997
-0.2422726,-0.2507523,0.03294777,-135.9853,-82.51446,172.2556,3.219997
-0.2372673,-0.2832665,-0.01090358,-140.0501,-92.20435,-177.3688,3.229997
-0.2267299,-0.3023236,-0.05277958,-143.1317,-99.90287,-166.8957,3.239997
-0.21549,-0.3079238,-0.06881892,-145.015,-102.5982,-162.2886,3.249997
-0.2286618,-0.30667,-0.1167789,-143.2908,-110.8466,-152.9463,3.259997
-0.2334914,-0.2937145,-0.1537562,-141.5167,-117.6315,-146.6347,3.269997
-0.2146119,-0.2941324,-0.1901015,-143.8839,-122.8751,-138.4657,3.279997
-0.2172462,-0.2758275,-0.2597895,-141.7755,-133.2849,-129.9037,3.289997
-0.2084651,-0.2647108,-0.2791473,-141.7789,-136.5205,-126.7521,3.299997
-0.1913418,-0.2262621,-0.3565785,-139.78,-147.6034,-118.2182,3.309997
-0.1885318,-0.1886493,-0.3805189,-135.0178,-153.6292,-116.3566,3.319997
-0.1487531,-0.1213641,-0.4176543,-129.2102,-163.7969,-109.604,3.329997
-0.1213558,-0.03192911,-0.4308492,-104.7406,-175.7617,-105.7308,3.339997
-0.1081841,0.003594124,-0.4401725,-88.0972,179.5322,-103.8083,3.349997
-0.04627677,0.07171515,-0.4397775,-32.83358,170.7382,-96.00699,3.359997
-0.03108535,0.1044801,-0.4423059,-16.569,166.7094,-94.02014,3.369997
0.01852828,0.1598964,-0.4186024,6.609773,159.0943,-87.46561,3.379997
