Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
11.20002,-0.3189167,-0.4191667,0.1730833,-0.0,0.61,1.22,231.6188,0,-1906.749,148,-75.25238
11.25002,-0.2901667,-0.5095834,0.1914167,-0.38,-1.18,0.79,235.6193,0,-1915.111,148,-83.61876
11.30002,-0.2808333,-0.54225,0.1689167,0.46,0.63,1.0,238.5657,0,-1923.873,148,-87.61931
11.35003,-0.22725,-0.5864167,0.19725,-0.23,-0.5,1.02,243.9266,0,-1923.873,148,-87.61931
11.40003,-0.1835,-0.6058333,0.171,-0.09,-0.36,1.02,248.1956,0,-1933.466,148,-95.92656
11.45003,-0.1076667,-0.6543334,0.1893333,0.15,0.48,0.9599999,254.2075,0,-1933.466,148,-95.92656
11.50003,-0.0735,-0.6568334,0.2295833,-0.39,-1.12,0.85,259.1401,0,-1944.086,148,-106.2075
11.55003,-0.01183333,-0.6579166,0.1980833,0.24,0.78,0.7,264.4136,0,-1955.2,148,-111.1401
11.60003,0.03683333,-0.6625,0.256,-0.22,-0.82,1.02,268.589,0,-1955.2,148,-111.1401
11.65003,0.13375,-0.6218333,0.2935,0.46,0.48,0.99,274.7635,0,-1967.259,148,-120.589
11.70003,0.165,-0.5666667,0.3139167,-0.66,-0.7,1.07,280.5184,0,-1979.936,148,-126.7635
11.75003,0.1629167,-0.5329166,0.3026667,0.42,0.19,0.5,285.124,0,-1979.936,148,-126.7635
11.80003,0.2480833,-0.4745833,0.3125,-0.24,0.39,1.3,290.277,0,-1993.648,148,-137.124
11.85003,0.23,-0.4179167,0.3155833,-0.19,-0.42,0.67,294.4742,0,-2007.876,148,-142.277
11.90003,0.2416667,-0.3593333,0.3393333,0.37,0.54,1.07,300.1155,0,-2007.876,148,-142.277
11.95003,0.22475,-0.3158333,0.3030833,-0.62,-0.77,0.89,302.7282,0,-2023.087,148,-152.1155
12.00003,0.2143333,-0.2664167,0.3516667,0.48,-0.08,0.9,306.0584,0,-2023.087,148,-152.1155
12.05003,0.1885,-0.2020833,0.3704167,-0.32,0.3,1.11,309.087,0,-2038.893,148,-158.0584
12.10003,0.141,-0.1804167,0.31125,-0.08,-1.03,0.77,309.9445,0,-2055.002,148,-161.087
